label	plist	programs	exists
jp.openclaw.daemon	/Users/doyopc/Library/LaunchAgents/jp.openclaw.daemon.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_daemon.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/daemon.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/daemon.launchd.err	1|0|0
jp.openclaw.db_integrity_watchdog_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.db_integrity_watchdog_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_db_integrity_watchdog_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.db_integrity_watchdog_v1.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.db_integrity_watchdog_v1.launchd.out	1|1|1
jp.openclaw.db_lock_watchdog_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.db_lock_watchdog_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_db_lock_watchdog_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.db_lock_watchdog_v1.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.db_lock_watchdog_v1.out	0|1|1
jp.openclaw.dev_command_executor_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.dev_command_executor_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_dev_command_executor_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.dev_command_executor_v1.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.dev_command_executor_v1.launchd.out	0|1|1
jp.openclaw.dev_meeting_telegram_bridge_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.dev_meeting_telegram_bridge_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_dev_meeting_telegram_bridge_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/dev_meeting_telegram_bridge_v1.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/dev_meeting_telegram_bridge_v1.launchd.out	0|1|1
jp.openclaw.dev_merge_notify_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.dev_merge_notify_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_dev_merge_notify_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.dev_merge_notify_v1.launchd.err|/Users/doyopc/AI/openclaw-factory-daemon/logs/jp.openclaw.dev_merge_notify_v1.launchd.out	0|1|1
jp.openclaw.dev_pr_creator_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.dev_pr_creator_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_dev_pr_creator_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/dev_pr_creator_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/dev_pr_creator_v1.launchd.err	0|1|1
jp.openclaw.dev_pr_watcher_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.dev_pr_watcher_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_dev_pr_watcher_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/dev_pr_watcher_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/dev_pr_watcher_v1.launchd.err	0|1|1
jp.openclaw.dev_proposal_notify_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.dev_proposal_notify_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_dev_proposal_notify_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/dev_proposal_notify_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/dev_proposal_notify_v1.launchd.err	0|1|1
jp.openclaw.dev_router_v1	/Users/doyopc/Library/LaunchAgents/jp.openclaw.dev_router_v1.plist	/Users/doyopc/AI/openclaw-factory-daemon/scripts/run_dev_router_v1.sh|/Users/doyopc/AI/openclaw-factory-daemon/logs/dev_router_v1.launchd.out|/Users/doyopc/AI/openclaw-factory-daemon/logs/dev_router_v1.launchd.err	0|1|1
